"date","forecast"
"Wednesday, 31 January 2018","Today
	  Cold, windy and showery today with spells of sunshine between showers.  The showers will be most frequent across the west and north through the first half of the day, with some of sleet and snow. Showers will become heavier later, merging to longer spells of rain, with a risk of hail and thunder. Feeling cold in the wind with temperatures of 4 to 7 degrees, in strong and gusty west to northwest winds reaching gale force along exposed coasts.
      
        Tonight Showery conditions will continue overnight, mainly affecting Atlantic counties, with the ongoing risk of thunder. There'll be long clear spells, especially across the midlands, south and east. Rather windy for a time with fresh and gusty northwest breezes.  There'll be a frost in sheltered spots by dawn with the risk of ice on untreated surfaces. Lowest temperatures of 1 to 3 degrees."
"Wednesday, 31 January 2018","Today
	  Cold, windy and showery today with spells of sunshine between showers.  The showers will be most frequent across the west and north through the first half of the day, with some of sleet and snow. Showers will become heavier later, merging to longer spells of rain, with a risk of hail and thunder. Feeling cold in the wind with temperatures of 4 to 7 degrees, in strong and gusty west to northwest winds reaching gale force along exposed coasts.
      
        Tonight Showery conditions will continue overnight, mainly affecting Atlantic counties, with the ongoing risk of thunder. There'll be long clear spells, especially across the midlands, south and east. Rather windy for a time with fresh and gusty northwest breezes.  There'll be a frost in sheltered spots by dawn with the risk of ice on untreated surfaces. Lowest temperatures of 1 to 3 degrees."
"Thursday, 08 February 2018","Today
	  Outbreaks of rain and drizzle will continue to persist across parts of south Leinster and Munster today but the rest of the country will remain generally dry and bright. Highs of 6 to 10 degrees Celsius in a moderate southwesterly breeze.
      
        Tonight It will become much colder this evening and early tonight as winds freshen and turn northwesterly in direction and temperatures drop to between -2 and +1 degrees Celsius. Widespread showers will be wintry with some snow accumulations; frost and icy stretches."
"Thursday, 15 February 2018","Today
	  Showers will become"
"Saturday, 24 February 2018","Today
	  Patchy frost, mainly in north midlands and northeastern areas clearing. Cold and generally dry today, rather cloudy in many places this morning, but cloud will break up and sunny spells will develop, especially in eastern and midland areas this afternoon. Highest temperatures of 4 to 8 degrees Celsius generally, possibly 9 degrees Celsius in the southwest and feeling cold in fresh southeast winds.
      
        Tonight Cold and dry tonight with clearing skies. Lowest temperatures of +2 to -2 or even -3 degrees Celsius with a widespread sharp or severe frost away from the far southwest, where cloud cover may keep temperatures a little higher."
"Sunday, 25 February 2018","Today
	  Cold, bright and mostly sunny. Top temperatures 4 to 7 C., but feeling colder in moderate to fresh east or southeast winds.
      
        Tonight Very cold and frosty tonight. Dry and mostly clear, with just a few mist patches. Lowest temperatures  +1 to -3 C., in moderate to fresh east or southeast winds."
"Sunday, 25 February 2018","Today
	  Cold, bright and mostly sunny. Top temperatures 4 to 8 C., best in the southwest, but feeling colder in moderate to fresh east or southeast winds.
      
        Tonight Very cold and frosty tonight. Dry and mostly clear, with just a few mist patches. Lowest temperatures  +1 to -3 C., in moderate to fresh east or southeast winds."
"Monday, 26 February 2018","Today
	  Very cold tonight with a severe frost and icy stretches.  Dry across many areas but further snow flurries will occur in the east and south.  Lowest temperatures will range -2 to -5 degrees Celsius, in northeasterly breezes."
"Thursday, 01 March 2018","Today
	  Blizzard conditions will extend through Leinster, Munster and Connacht overnight in strong and gusty northeasterly winds; the heaviest snowfall will be along eastern and southern counties. Snow through Ulster will be mainly from showers. Lowest temperatures will be around 0 to -4 degrees."
"Monday, 05 March 2018","Today
	  Outbreaks of rain and drizzle, mostly affecting the eastern half of the country will continue through the night and it will be generally rather cloudy. Snow-melt will continue, leading to an accumulation of surface water and the ongoing risk of flooding.
      
        Tonight It'll be cold overnight with a mix of cloud and clear spells and just isolated showers. Temperatures down to minus 2 to plus 2 degrees and with light winds there'll be mist, fog and frost."
"Friday, 13 April 2018","Today
	  Some sunshine across the south of the country this evening but most places will remain cloudy.  Occasional mist and drizzle overnight.  Lows of 5 to 7 degrees in light southerly breezes."
