date,source,forecast,COLD,HOT,WET,DRY,CLOUDY,WINDY
2017-12-26,boards,"TODAY ... Sunny intervals and quite cold, although more cloud likely near both the south coast and northwest counties. Outbreaks of cold rain or sleet will cover the southern counties by mid-day and this could change over to heavy wet snow over some parts of the inland south by late afternoon and early evening. While it seems likely to stay dry from about Galway to Dublin, the north could also see some sleety showers. The rain in the south (or wet snow) will be accompanied by increasing northeasterly winds 40-60 km/hr making it feel very raw and cold. Highs 5 to 7 C.",5.00,0.00,8.00,1.00,1.00,1.00
2017-12-27,boards,"TODAY ... Windy and very cold with passing wintry showers, some 3-5 cm accumulations of snow likely on higher terrain in north and west, but more chance of sunny intervals in east and south. Winds NNW 50-70 km/hr will ease by this afternoon and evening. Highs 3 to 7 C. 

(Note: The disturbance that crossed Ireland yesterday has developed considerably into a snowstorm for west-central England overnight, travel disruptions can be expected and there are power outages -- and this is all heading for the southeast later with very strong north to northeast winds. Travel to London may be disrupted before mid-day. The storm is having some impacts on France also, mainly strong northerly winds and very cold).",3.00,0.00,2.00,0.00,0.00,5.00
2017-12-28,boards,"today and for the next week or two weeks possibly, with snowstorm potential on the east coast now most likely Jan 3-5 (lighter snow this coming weekend).

It appears that Tropical Cyclone ""Hilda"" is still over the ocean north of Western Australia but should be moving inland",1.00,0.00,1.00,0.00,0.00,0.00
2017-12-29,boards,"TODAY ...  Sleety rain or hail showers this morning with blustery southwest winds, veering to westerly (70 to 100 km/hr at times), clearing for part of the late morning and afternoon hours, highs only 4 to 8 C. More sleet or wet snow likely by late afternoon in parts of the west, but turning to a heavy rain in the southwest by evening.",1.00,0.00,7.00,0.00,0.00,3.00
2017-12-30,boards,today west of Ireland and is most likely to track just north of Mayo and Donegal into Scotland. As it races past,0.00,0.00,0.00,0.00,0.00,0.00
2017-12-31,boards,"TODAY ... The strong winds will ease steadily across the north and some central counties, and it will continue partly cloudy (longer sunny intervals south and east) with slowly falling temperatures in a moderate westerly wind (50-70 km/hr) by mid-day, and some passing showers (more frequent in west and north) that may become wintry on higher terrain by afternoon when it will be feeling quite cold with readings near 4 C. Some heavier showers may develop and produce sleet or snow at times, with another bout of stronger winds with gusts peaking around 80 km/hr in the evening. The most likely thing you may hear today is, ""did anyone see Dylan?""",2.00,0.00,4.00,0.00,1.00,5.00
2018-01-01,boards,"TODAY ... NEW YEAR's DAY (Monday 1st January 2018) ... Bright, cold and rather blustery with isolated bands of wintry showers feeding in from around Donegal Bay and also across west Munster, these less frequent in coastal Leinster with more wintry sunshine there, although one or two more organized bands of showers may reach the east and south coasts with winds becoming north-westerly 60-80 km/hr, some higher gusts near Atlantic coasts. Highs only 4 to 8 C with lower values inland north, higher near south, and west coasts.",1.00,0.00,2.00,0.00,0.00,3.00
2018-01-02,boards,"TODAY ... Morning rain should soon be moving off to the east, followed by some sunny breaks and moderate southwest winds 40-70 km/hr, rather mild with highs around 11 C. Heavy rain and embedded thunderstorms will move rapidly into all regions by early to mid afternoon, and winds are expected to increase to southwesterly 90 to 110 km/hr and possibly some local gusts to 130 km/hr which could produce tree damage or scattered power outages.",0.00,0.00,2.00,0.00,0.00,3.00
2018-01-03,boards,"today more widely distributed throughout the country, and probably not quite as strong in those parts of Connacht that were hit with very strong winds yesterday evening, but in the range of 110 to 120 km/hr for top gusts almost anywhere that's well exposed to a westerly wind. Coastal flooding very likely especially at high tides on the west coast. Some lingering damage from yesterday may not yet be cleared either, so drive with extreme caution. The word is that this continues to be storm Eleanor, although one distinct low spun off yesterday and is now in the North Sea, a second one is perhaps twin sister Edith making her way slowly past north Ulster towards Scotland. This one has a little less dynamic energy and is more of a steady state affair so that it may be a case of relentless strong winds eventually doing damage rather than sudden gusts,
 so watch for further damage to trees or infrastructure at a rather unpredictable pace here and there.

TODAY ... Very windy with passing squally showers containing some hail and thunder, winds westerly 80 to 120 km/hr in exposed areas, easing slightly by late afternoon. Highs 7 to 10 C. Feeling quite cold especially in higher parts of the west.",1.00,0.00,2.00,0.00,0.00,9.00
2018-01-04,boards,"TODAY ... Very windy at times this morning in west Munster, then from Clare east into the midlands and by afternoon into central Leinster. Westerly winds 80-120 km/hr may cause some scattered damage and disruption. A few showers but more persistent rain further north where it is not as windy, 5-15 mm likely there. Temperatures will remain steady around 8-11 C then fall off gradually later today as winds ease then turn more northerly.",0.00,0.00,2.00,0.00,0.00,6.00
2018-01-05,boards,"TODAY ... Some parts of Leinster will have sunny intervals with just a chance of isolated showers later in the day, highs 6 to 8 C. Most of Ulster and Connacht will see outbreaks of rain that could become sleety on higher terrain, winds sometimes moderate westerly at first, then turning northerly to northeasterly later, as low pressure drops southward into Munster, which will start out cloudy with a few areas of patchy drizzle, then partly cloudy mid-day followed by outbreaks of light rain. For all these areas highs will be 5 to 7 C.",0.00,0.00,4.00,0.00,2.00,3.00
2018-01-06,boards,"TODAY ... For most, it will be a cold and partly cloudy day with moderate east winds of about 40-60 km/hr adding a chill to daytime highs of 5 to 8 C. In a few parts of south and east Leinster and west Munster, some mixed wintry showers are likely, snow mostly confined to higher elevations, but hail or sleet could fall lower down as well as cold rain showers, and a slight risk of thunder especially around Wicklow. Highs will also be in the same range (5 to 8 C) but temperatures could drop sharply near stronger showers. For the south and east Leinster showers, these will develop from streamers moving across the Irish Sea.",4.00,0.00,8.00,0.00,1.00,1.00
2018-01-07,boards,"TODAY ... Frosty except near southeast coast, some lingering ice fog possible in valleys, otherwise wintry sunshine and very cold, highs zero to +5 C. Not very windy and calm at times inland.",1.00,0.00,0.00,0.00,1.00,2.00
2018-01-08,boards,"TODAY ... Frosty for a while away from the milder south and east coasts and larger cities, watch for local black ice conditions and possibly a few patches of dense fog. Although the sun may try to make another decent appearance, cloud infiltrating from the south will tend to move in quite fast as an elevated fog or low cloud ceiling, and then it may be a case of obscured sunshine or just being able to make out the Sun's disc behind the thin cloud layer. The southeast breeze will pick up gradually and this may allow temperatures to climb slightly higher today, but still rather cold at 5 to 8 C.",1.00,0.00,0.00,0.00,5.00,1.00
2018-01-09,boards,"TODAY ... Becoming rather windy this morning, especially near the west coast where a southerly wind of 50-90 km/hr will begin rather early in the day. Further east it will pick up more gradually to south-southeast 40-60 km/hr. Rain will follow becoming rather showery further east. It may remain cold enough in a few parts of the northeast to allow this rain to start out as sleet. About 10 mm of rain can be expected, but near 20 mm in west Connacht and parts of the midlands. Highs 8 to 11 C south and west, 6 to 9 C east and north.",1.00,0.00,4.00,0.00,0.00,3.00
2018-01-10,boards,"TODAY ... Watch for isolated black ice in south-central valleys this morning, slight frosts have occurred there. After fog lifts in most places, partly to mostly cloudy, outbreaks of cold rain with wintry showers on higher terrain at times, colder, highs about 7 C. Persistent low cloud in some parts of the north may reduce visibility on hilly terrain. A more organized band of rain, turning to sleet or hill snow may develop in the inland south by evening.",3.00,0.00,5.00,0.00,3.00,0.00
2018-01-11,boards,"TODAY ... Some persistent fog or low cloud in central counties this morning with patchy black ice conditions possible from about south Galway east to Offaly. Elsewhere, cloud may break to a few sunny intervals especially near coasts. Rather cold inland with highs only 3 to 7 C. Somewhat milder around coastal areas where highs could reach 9 or 10 C. Light winds or even calm conditions will prevent the air from mixing very easily, allowing conditions to remain locally rather different from place to place.",1.00,0.00,0.00,1.00,3.00,3.00
2018-01-12,boards,"TODAY ... Rain will edge eastward, but it may take most of the day for it to arrive on the east coast. Winds will increase to southerly 50-80 km/hr and 10-20 mm of rain will fall in western counties. Highs 8 to 11 C.",0.00,0.00,2.00,0.00,0.00,2.00
2018-01-13,boards,"TODAY ... The persistent band of rain is weakening somewhat and becoming more confined to Leinster and east Ulster this morning. It will probably just weaken to scattered showers rather than moving away entirely this afternoon, and more showers will likely develop in the partly to mostly cloudy air mass over western counties, while all regions see temperatures in the 7-9 C range. Winds that are currently moderate southerly over Leinster should ease off later in the day and otherwise the winds will slowly turn more northerly from west to east as a weak trough plods east.",0.00,0.00,3.00,1.00,1.00,5.00
2018-01-14,boards,"TODAY ... Partly cloudy to overcast this morning, winds not too strong until mid-afternoon when they will increase to southwest 50-80 km/hr in exposed locations, ahead of some rain sweeping in from the northwest by late in the day. Highs 8 to 11 C.",0.00,0.00,1.00,0.00,2.00,1.00
2018-01-15,boards,"TODAY ...  Becoming colder as the day unfolds, winds westerly 50-80 km/hr, frequent showers developing, some with hail and thunder. By evening some of these will turn wintry on higher ground in Connacht and west Ulster mainly. Highs 6 to 8 C.",1.00,0.00,2.00,0.00,0.00,2.00
2018-01-16,boards,"TODAY will be a very cold day in part due to persistently strong westerly winds at about 70 to 110 km/hr at times, and squally showers of hail, sleet or snow could hit almost anywhere with at least temporary disruptions to travel. There will be brighter intervals but still cold and windy in those, as highs reach only 2 to 6 C. Some of the heavier squalls could produce thunder as well.",3.00,0.00,4.00,0.00,0.00,4.00
2018-01-17,boards,"TODAY will start out windy and still rather cold with slowly rising temperatures 3-5 C and with mixed wintry showers, and there could be intervals of snow or sleet across inland Ulster and north Leinster as well as higher parts of Connacht, west Munster, before somewhat milder air arrives late in the day on strong southwest winds that will reach 70-110 km/hr by evening. There will be an interval of 10-15 mm rainfalls for most, and some chance of gusty thunderstorms. Highs 8 to 11 C after morning temperatures mostly in the 3-5 C range. Temperatures will however stay closer to 5 or 6 C at peak in Ulster and 8 C in north Connacht and north Leinster.",2.00,0.00,4.00,1.00,0.00,3.00
2018-01-18,boards,"TODAY ... Rather windy and cold with passing mixed wintry showers, more likely to be snow in higher parts of Connacht and most of Ulster, and some new 3-5 cm accumulations are likely there by",2.00,0.00,2.00,0.00,0.00,1.00
2018-01-19,boards,"TODAY ... Partly cloudy, passing wintry showers, best chances for snow in higher parts of Ulster and a few locations in Connacht, Munster. Some localized 3-5 cm accumulations there. Otherwise most locations are more likely to see sleet or hail showers. Strong westerly winds dying out gradually by afternoon, highs 5 to 8 C.",1.00,0.00,5.00,0.00,1.00,2.00
2018-01-20,boards,"TODAY ... Some drizzle or light sleet in parts of the north (snow in Northern Ireland) this morning should slowly clear with some persistent fog or mist and continuing rather cold temperatures except in Munster where milder air and rain will move in with the rain becoming heavier as it moves further north by late afternoon. Highs 3 to 6 C in many parts of the north and east, 8 to 10 C in the southwest. About 10-15 mm of rain possible.",2.00,0.00,6.00,1.00,2.00,1.00
2018-01-21,boards,"TODAY ... Rain ending by mid-day as any remaining sleet changes to rain in Ulster, then partly cloudy and mild from mid-morning hours in the south and closer to early afternoon further north. It may remain quite foggy until the rain ends, and possibly for a time afterwards in cooler areas of the north. Highs 11-13 C in the south, 7 to 10 C north. Moderate southwest breezes 40-60 km/hr at times.",0.00,0.00,4.00,0.00,1.00,1.00
2018-01-22,boards,"TODAY ... Mostly cloudy this morning, generally dry, then some sunny intervals developing by afternoon, highs
8-11 C.",0.00,0.00,0.00,1.00,1.00,0.00
2018-01-23,boards,"TODAY ... Passing showers but also some brighter intervals, with a blustery and rising southwest wind that may peak at 80-110 km/hr by late afternoon and evening, especially in Atlantic and south coast counties. Highs 10 to 12 C.",0.00,0.00,1.00,0.00,0.00,2.00
2018-01-24,boards,"TODAY ... Continued rather windy and turning somewhat colder, with frequent passing showers producing some hail and thunder at times, winds southwest 50-80 km/hr with another interval of strong winds likely by evening. Highs 6 to 9 C.",1.00,0.00,2.00,0.00,0.00,3.00
2018-01-25,boards,"TODAY ... Windy and cold with passing showers, some wintry on higher terrain in Connacht and Ulster. Hail may be as likely as rain at lower elevations. Winds gradually turning northwesterly 50-70 km/hr, highs only 5 to 8 C.",1.00,0.00,3.00,0.00,0.00,2.00
2018-01-26,boards,"TODAY ... Increasing cloud, rain by late afternoon west, highs 7-9 C.",0.00,0.00,1.00,0.00,1.00,0.00
2018-02-01,boards,"TODAY ... Sunny intervals, cold and breezy with a few passing showers, some of them wintry in higher parts of the north and west. Highs 5 to 7 C. Winds northwest 40 to 60 km/hr.",1.00,0.00,1.00,0.00,0.00,2.00
2018-02-02,boards,"TODAY ... Sunny with cloudy intervals in west and north, isolated morning sleet showers in west Munster, then more generally increasing cloud, light rain in western counties by late in the day, highs 6 to 8 C.",0.00,0.00,3.00,0.00,2.00,0.00
2018-02-03,boards,"TODAY ... Some sunny intervals in Leinster amd east Munster this morning, as wintry showers spread into other regions on gusty northwesterly winds of 50-70 km/hr. Temperatures will remain cold in the range of 3 to 7 C.",1.00,0.00,1.00,0.00,0.00,1.00
2018-02-04,boards,"TODAY ... Sunny and cold in most places, just a few isolated hail or snow showers moving inland from the Irish Sea between Dublin and Wexford. Highs 4 to 7 C.",2.00,0.00,3.00,0.00,0.00,0.00
2018-02-05,boards,"TODAY ... After a frosty and in some places foggy start to the day, there will be generally increasing cloud during the morning, but some sunny intervals may persist to early afternoon in the east despite patchy low cloud. It will remain very cold with temperatures between 3 and 7 C by mid-afternoon, coldest inland Leinster and midlands. Temperatures will fall back to near -1 C in the east this evening.",2.00,0.00,0.00,0.00,2.00,0.00
2018-02-06,boards,"TODAY ... Very cold with gusty northwest winds developing, scattered sleety showers this morning will clear east giving brief sunny spells followed by further wintry showers, and potential for some heavy falls of snow or hail accompanied by thunder in parts of Connacht, west Munster, Ulster, and midlands. Some remnants of these heavier showers may reach east and south coasts but sunshine may be more frequent there. Winds northwest 40-70 km/hr and highs only 3 to 7 C, with temperatures prone to falling close to -1 C during heavier wintry showers. Icy roads in some parts of Leinster this morning, and then developing over inland parts of the north and west by this afternoon where snow or hail accumulates.",3.00,0.00,8.00,0.00,0.00,2.00
2018-02-07,boards,"TODAY ... A few sunny intervals in east and south, becoming mostly overcast later as cloud already spreading into Connacht reaches the rest of the country, followed by outbreaks of sleet or wet snow turning to rain (starting as rain near the west coast), as temperatures slowly recover to more normal values near 7 C in a developing southwesterly wind of 50-70 km/hr.",1.00,0.00,5.00,0.00,2.00,1.00
2018-02-08,boards,"TODAY ... Milder for a time with rain or showers, highs 8 to 11 C, then turning much colder from the northwest this afternoon west and evening for eastern counties, with thundery showers turning to snow or sleet in many parts of the north and some central and southwestern counties, as winds veer to the northwest, with temperatures then falling rapidly to near 1 C. Winds west to northwest about 50 to 80 km/hr adding chill especially afternoon and evening. Some heavy snow showers likely in Donegal, and north Connacht by evening, 3 to 5 cm accumulations in a few places.",4.00,0.00,7.00,0.00,0.00,2.00
2018-02-09,boards,"TODAY ... Windy and cold with passing wintry showers, with snow less frequent in the mix by afternoon, sleet or hail more likely then, but all through that some sunny intervals as well with temperatures slowly rising to about 5 or 6 C by late afternoon with the last of any sleet turning to rain by early evening, winds backing to southwest and increasing to 70-100 km/hr, some strong gusts near west coast by evening.",2.00,0.00,6.00,0.00,0.00,3.00
2018-02-10,boards,"TODAY ... Breezy to windy and milder than recent days, passing showers could be locally heavy and squally, in particular south Connacht to central Leinster. Winds generally westerly 50-70 km/hr could briefly gust higher with hail and thunder possible. Highs near 11 C. Becoming very windy in south Connacht and later in north-central Leinster with outbreaks of heavy rain from north Connacht to southeast Ulster. Details in the alert above.",0.00,0.00,3.00,0.00,0.00,6.00
2018-02-11,boards,"TODAY ... Windy and very cold with outbreaks of snow, sleet or hail, roads may become slippery and in some places icy, and higher parts of Connacht and Ulster could experience white-out conditions at times with 3-5 cm snowfall potential. Other parts of the country may see occasional coatings of 1-2 cm snow or heavy deposits of hail. West to northwest winds 60-90 km/hr (higher gusts in west coast exposed locations) and highs only 2 to 6 C, feeling more like -4 C in the strong winds.",4.00,0.00,6.00,0.00,0.00,4.00
2018-02-12,boards,"TODAY ... Breezy to windy, sunny intervals with passing wintry showers, and while still cold this morning, turning somewhat milder by afternoon when any remnant snow or sleet showers should be mostly confined to higher elevations and rain will develop in strong south to southwest winds that may peak around 70-110 km/hr by evening. Temperatures will continue to climb back slowly towards 7 or 8 C.",2.00,0.00,5.00,0.00,0.00,3.00
2018-02-13,boards,"TODAY ... Windy and cold with a few outbreaks of snow or sleet, more likely in the west and north but not exclusively there, with the potential for 1 to 3 cm brief covering of snow, some icy roads as a result. There will also be some sunny intervals in the mix, and later on more of a wintry mix of showers as highs reach about 4 to 6 C in gusty westerly winds 50 to 80 km/hr. By late afternoon and evening, these winds will have backed into a south to southwest direction and some outbreaks of rain are likely as temperatures will remain steady, but sleet could develop on higher ground in the north ahead of the milder air.",3.00,0.00,6.00,1.00,0.00,5.00
2018-02-14,boards,"TODAY ... Rain becoming more showery during the morning, strong south to southwest winds 70-110 km/hr, and peak temperatures likely around 10 a.m. to noon (8 to 11 C) when winds will begin to veer more westerly, then temperatures slowly falling during the afternoon to 4 or 5 C (faster in western and northern counties) with showers becoming somewhat wintry again at least in higher parts of the west and north. Winds easing slightly by late afternoon to westerly 60-90 km/hr.",0.00,0.00,2.00,0.00,0.00,5.00
2018-02-15,boards,"TODAY ... Frequent wintry showers may drop snow or sleet at times, but it can also rain as temperatures fluctuate between 2 and 6 C, with hail also in the mix. Some sunny breaks will occur between the showers and a few places might have longer sunny spells, most likely in the lee of mountains in the south and southeast as winds will remain blustery from the west at 50-70 km/hr.",1.00,0.00,6.00,0.00,0.00,2.00
2018-02-16,boards,"today as for the past few days is not so much the upcoming few days of mild, rather bland weather, but the possibility of a sharp turn to colder weather mid-week and now the models are somewhat more in agreement on this, in fact the most reluctant to show this outcome (the European) has taken a lead position in its latest runs. This is not yet a certain outcome but we need to be aware of the potential for sub-freezing cold and east coast (and Ulster) snow if this comes to pass as very cold air is shown making a strong run across Britain towards Ireland by this time next week.


TODAY ... Becoming mostly cloudy, outbreaks of light rain, highs 7 to 10 C.",4.00,0.00,2.00,1.00,1.00,1.00
2018-02-17,boards,"TODAY ... Some early frost and fog patches, becoming partly cloudy and mild by later morning, highs 8 to 12 C.",0.00,0.00,0.00,0.00,2.00,0.00
2018-02-18,boards,"TODAY ... Rain will gradually spread east, 10 to 15 mm will fall in many places by late afternoon, and there will be slow clearing from the west towards mid-afternoon but rain will taper to drizzle for the east coast and only end towards evening there. Highs 10 to 12 C.",0.00,0.00,3.00,0.00,0.00,0.00
2018-02-19,boards,"TODAY ... Mostly cloudy and misty to start, some brighter intervals developing around late morning, with scattered outbreaks of light rain following by afternoon (2 to 5 mm expected). Highs 10 to 13 C.",0.00,0.00,1.00,0.00,1.00,0.00
2018-02-20,boards,"TODAY will be sunny with cloudy intervals, isolated sprinkles of rain possible near north facing coasts, and highs 7 to 9 C.",0.00,0.00,2.00,0.00,1.00,0.00
2018-02-21,boards,"TODAY will have some morning fog and mist patches, with sunny spells to follow, but a general increase in cloud during the day, and with light southeast winds the morning chill may not quickly dissipate, but eventually highs will reach 6 to 9 C.",1.00,0.00,0.00,0.00,3.00,1.00
2018-02-22,boards,"TODAY ... Mostly cloudy, spots of drizzle near west coast, otherwise dry, moderate southeast breezes at times, highs 6 to 9 C.",0.00,0.00,1.00,1.00,1.00,1.00
2018-02-23,boards,"TODAY ... Partly to mostly cloudy, moderate southeast winds 40-60 km/hr, highs 6 to 9 C. A few spots of light rain may brush by Atlantic coastal counties but it should remain dry in most places, and the best chance for any sunny breaks will be in the east and north.",0.00,0.00,1.00,1.00,1.00,1.00
2018-02-24,boards,"TODAY ... Cloudy and rather cold with some partial clearing later, although west coast likely to remain mostly overcast and remain a bit milder all day with highs of 8 to 10 C, while staying rather cool further east with highs 5 to 8 C. Winds south to southeast 40 to 60 km/hr (mostly southeast but some southerly breezes at times near west coast).",2.00,0.00,0.00,0.00,2.00,3.00
2018-02-25,boards,"TODAY ... Sunny intervals, rather cold with highs 5 to 8 C. Winds increasing at times to southeast 50 to 80 km/hr. Somewhat more cloud in far west at times.",1.00,0.00,0.00,0.00,1.00,1.00
2018-02-26,boards,"TODAY ... Some sunshine this morning, quite cold with southeast winds 40-70 km/hr adding considerably to the chill factor. Highs around mid-day 4 to 6 C, then temperatures are likely to fall sharply this afternoon in east, by evening west, as the really cold air arrives from Britain. It will become mostly cloudy and there could be occasional light snow or sleet although it will take a while to start this process.",4.00,0.00,2.00,1.00,1.00,2.00
2018-02-26,boards,"TODAY ... Some sunshine this morning, quite cold with southeast winds 40-70 km/hr adding considerably to the chill factor. Highs around mid-day 4 to 6 C, then temperatures are likely to fall sharply this afternoon in east, by evening west, as the really cold air arrives from Britain. It will become mostly cloudy and there could be occasional light snow or sleet although it will take a while to start this process.",4.00,0.00,2.00,1.00,1.00,2.00
2018-02-27,boards,"today in parts of Leinster, east Ulster, and spreading at times to eastern Connacht and Munster where 3 to 10 cm a more likely total. ADVANCE ALERT for severe cold",1.00,0.00,0.00,0.00,0.00,0.00
2018-02-28,boards,"today and definitely the potential exists for almost nation-wide disruptions by Thursday night and Friday. Heavy snow, blowing snow, and severe cold from wind chill values near -10 C are all part of the developing situation. Conditions today will vary considerably both from one hour to the next, and from one location to another, as snow streamers can develop with gaps between them, sometimes caused by upstream land masses like Wales or the Isle of Man limiting the ""fetch"" over open water. However, the best bet is to assume that travel in warned areas could be very disrupted even if your locality seems okay. Further afield, it shouldn't be too difficult to get around today in some parts of the west and southwest, but check all sources such as weather forum reports, to get a clear picture of how things are evolving if you need to travel, because in some places, we could foresee road travel coming to a halt and people being stranded in the heavier snowfall areas.

FORECASTS: 

TODAY will be exceptionally cold and by afternoon very windy at times (easterly 50-90 km/hr with some variations in direction between southeast and northeast). Heavy snow will redevelop after a brief morning pause, and blizzard conditions are quite possible in parts of Leinster and near the south coast into Cork. (Cork city may be on the edge of that much of the day) ... A further 20 to 40 cm of snow could fall in some places around Dublin, Kildare, Laois, Carlow, Wicklow and Meath, and 15 to 30 cm in Louth and Ulster, parts of Westmeath and Wexford. Falls further west of about 10 to 20 cm are possible, but amounts should taper down to small values (1 to 4 cm) near Atlantic coasts. Blowing snow especially by afternoon may cause zero visibility in blizzard-like conditions. Temperatures will be held down to the range of -2 to +1 C and inland may fall further during heavier snowfalls. Thunder-snow could be frequent in Leinster and occasional elsewhere.",11.00,0.00,9.00,0.00,0.00,3.00
2018-03-01,boards,"today mostly in counties of north Leinster, east Ulster, and inland east Connacht, but with some risk near south coast also. The intensity of snow will likely be somewhat less impressive than yesterday with 5 to 10 cm further amounts. ADVANCE ALERT for heavy snow covering most of the country (possible exceptions of northwest coast and parts of Ulster)",2.00,0.00,2.00,0.00,0.00,0.00
2018-03-02,boards,"TODAY will continue to produce locally heavy snowfall in some parts of the southeast, central Leinster, and scattered portions of the midlands and southwest, up into Galway. There are about equal areas of lighter snowfall, those tend to be in the lee of higher ground (inland southeast) but occasionally these areas will see bursts of heavier snow. Further accumulations will therefore vary over a large range, your best bet is to double what you have already had from mid-day yesterday at your location -- this may be anywhere from 2-5 cm in light snow areas, to 30 to 50 cm in heavy snow zones. Winds near the east coast will be easterly 70 to 100 km/hr and these strong winds are making considerable progress inland in central regions, where snow has been heavy, severe blowing and drifting has already begun and will continue. Near the south coast, winds are likely to fluctuate more between 40 and 70 km/hr and drifting will be more moderate. Low snowfall zones will also tend to be sheltered from strong winds (there may be exceptions near boundaries between heavy and light snow). And to complicate matters further, parts of the north will remain almost snow-free while other places get sudden blasts of snow from streamers that are affecting parts of east Ulster. Temperatures for all will fluctuate between -1 and +1 C. There will be some limited sleet or even rain near south coast and in pockets on the east coast too, but no major changeover is expected, especially with the weaker depictions for storm Emma on the new guidance.",9.00,0.00,11.00,0.00,0.00,6.00
2018-03-03,boards,"TODAY ... Mostly overcast with some fog developing over heavier snow packs, light sleet or snow at times this morning in a few locations, followed by an interval of rain near the southeast coasts, making some progress inland and upslope but turning to sleet or snow over higher parts of the southeast. This may also make sporadic appearances further north and west although not likely to be much of a factor in Connacht or Ulster where occasional outbreaks of sleety light showers may continue. In general, somewhat milder with highs 4 to 7 C at low elevations, and 2 to 4 C over higher and more inland districts (-1 to 2 C on higher slopes). Snow melt will be gradual and mostly confined to coastal margins, and some urban areas, leading to some ponding of meltwater by afternoon and evening there. Winds generally lighter than recent days but occasionally moderate easterly in Leinster, and there could be one or two weak streamers setting up at times, bringing more of a mixed bag of precipitation types. Where safe and possible to do, clear snow off flat roof surfaces to avoid later problems.",5.00,0.00,10.00,0.00,2.00,2.00
2018-03-04,boards,"TODAY ... Overcast with widespread fog or mist especially dense over snow packs. Some light rain may become moderate at times near southeast coast (10 to 20 mm could fall) and this could turn to sleet or wet snow on higher terrain. Melting will vary from slow to moderately fast depending on rain and actual temperatures, but the biggest result is likely to be extensive slush and ponding, some flooding, and a lot of low-level moisture (hence the fog). Light to moderate east winds will continue, highs 3 to 6 C.",2.00,0.00,7.00,0.00,4.00,1.00
2018-03-05,boards,"TODAY ... Foggy and rather cold with scattered outbreaks of light rain or drizzle, possibly wet snow at times on higher terrain, only small amounts expected. Some continued melting of snow but at a generally moderate pace. Highs 4 to 7 C with light winds. The fog may lift in some places and the afternoon could bring a few sunny breaks with the isolated sleety showers mostly over northern and central inland counties. Slush and increased amounts of runoff leading to ponding in urban areas and flooding of a few poorly drained areas.",3.00,0.00,6.00,0.00,1.00,1.00
2018-03-06,boards,"TODAY ... Fog slowly lifting, variable cloud with scattered wintry showers, some hail possible, snow on hills especially in north. More likely to be rain near coasts and in the south, amounts 5 to 10 mm in some parts. Highs 5 to 8 C. Widespread slush and ponding of meltwater is likely in Leinster and Munster from remaining snow, and fog is more likely there too.",2.00,0.00,5.00,0.00,3.00,0.00
2018-03-07,boards,"TODAY ... Some morning sunshine with wintry showers advancing slowly from northwestern coastal counties into central regions, longer spells of sunshine for Munster and parts of Leinster, still a little low cloud or fog possible where snow is melting, and rather cold with highs 5 to 8 C. The thaw will continue at an even slower pace.",2.00,0.00,2.00,0.00,2.00,0.00
